--- Customers and their Owners ---
[ACTIVE] Customer: Caner3 (ID: e21eaf99-2417-4de2-9f51-6dcd72b757fd) -> Owner ID: be8b8541-f427-4287-a00b-a0e9783e5209 (test3@test.com)
[ACTIVE] Customer: Caner2 (ID: 93b3f5b1-68bd-423a-af74-684d9243c9e1) -> Owner ID: be8b8541-f427-4287-a00b-a0e9783e5209 (test3@test.com)
[ACTIVE] Customer: Test Customer Updated (ID: df7432ad-d243-45d5-a2d1-4c8c80752484) -> Owner ID: be8b8541-f427-4287-a00b-a0e9783e5209 (test3@test.com)
[ACTIVE] Customer: Caner Okcuoğlu  (ID: fcf5407d-dea3-4420-8a6d-64c44d6637d3) -> Owner ID: e0bce7e4-a9a2-4c0e-9841-e11cea1cff57 (ozan.demirci28@gmail.com)

--- All Users ---
User: basarili@test.com (ID: 4ab60021-ffa6-46e6-9039-26a9e165b1f7)
User: newuser123@test.com (ID: d4afdec1-8ed0-41c8-a7f5-48238e9c9356)
User: testfinal@example.com (ID: 5f0ddb66-4fb5-470d-a2d7-0f8a1c77f766)
User: simple@test.com (ID: 1863589e-f84c-4f39-bf31-806bac4fcd0d)
User: test@test.com (ID: 3d45bdf2-61af-4ef5-948f-3e2e882f3608)
User: test1@test.com (ID: 931be1d0-6555-4b6d-8f19-8bebd18d5c17)
User: test_6420@example.com (ID: 6262311d-4b09-425f-bc6a-b4fb83fa253c)
User: test4@test.com (ID: 6001e1b4-662c-4ea7-ac74-c4ad74aeb52f)
User: Alice_99433@test.com (ID: edd5aac7-a093-4160-8162-685c6b782dae)
User: Bob_37472@test.com (ID: dea0631c-e50f-4b63-b124-f64e5091f890)
User: Alice_127@test.com (ID: bc93c3fb-4927-4b9f-97b4-3575ca4d1d18)
User: Bob_56655@test.com (ID: a1a8bcd4-0376-45ba-a264-ca89e3901397)
User: Alice_54240@test.com (ID: 28caee79-254e-459b-a91f-ebeb09d6ff49)
User: Bob_3836@test.com (ID: 445e602d-4197-443e-8745-808e663aeaf8)
User: architect_UserA_160487@test.com (ID: b074d982-de1c-43f5-90bc-1d33ce13cca3)
User: architect_UserB_103963@test.com (ID: 284feb03-d06d-4381-bd73-d9b28f023629)
User: architect_UserA_697733@test.com (ID: 2449f7b1-59d3-475f-b62e-ed3f320f7875)
User: architect_UserB_310312@test.com (ID: 6e0bfed8-76ec-42d1-8b68-b0b7339a5374)
User: architect_UserA_435243@test.com (ID: d24eaf75-108a-41d3-b24c-dcdcf4ce5d72)
User: architect_UserB_746522@test.com (ID: f1b9df20-19ec-42bc-8adc-6afb778cd432)
User: test5@test.com (ID: c958f224-b1be-46b0-a975-078d3b231e2b)
User: test6@test.com (ID: 8fc98aa6-eac9-46fa-be6a-6ad1b4834bb2)
User: test10@test.com (ID: d4b5a038-dab9-4b00-8fdf-cbcde292cc94)
User: realtest_9655@test.com (ID: 45d16c5c-7722-4da4-bb34-3d6f1fbb6cbe)
User: realtest_4604@test.com (ID: 4cec099b-8abf-4f88-9561-ecf1b75401b1)
User: appuser_2787@test.com (ID: d1799f89-09e0-4bf3-84c4-1f83db406ecc)
User: test3@test.com (ID: be8b8541-f427-4287-a00b-a0e9783e5209)
User: test11@test.com (ID: 51c6dea5-f8c6-4ea0-9cef-5f568d2c91df)
User: dev@dev.com (ID: 19bc99a7-9900-4448-bf7c-90cdb2054353)
User: ozan.demirci28@gmail.com (ID: e0bce7e4-a9a2-4c0e-9841-e11cea1cff57)
